,a,b,c,d,e,tess,Truth
13449,an,MCA,"complalnt,",the,three*level,"complalnt,","complaint,"
13451,"complalnt,",the,three*level,system,of,three*level,three-level
13454,system,of,compensatlon,e57,tabllshed,compensatlon,compensation
13455,of,compensatlon,e57,tabllshed,1,e57,es­
13456,compensatlon,e57,tabllshed,1,1954,tabllshed,tablished
13458,tabllshed,1,1954,was,changed,1954,1964
13463,to,a,snrlevel,system.,"However,",snrlevel,six-level
13469,rates,of,compensatl-,m,be,compensatl-,compensation
13475,by,the,rallroads,were,frozen,rallroads,railroads
13480,to,car,Values,establlshed,1n,Values,values
13481,car,Values,establlshed,1n,1959.,establlshed,established
13513,negotlai,ted,betwee,the,lltlgants.,betwee,between
13515,betwee,the,lltlgants.,The,negotlatlons,lltlgants.,litigants.
13517,lltlgants.,The,negotlatlons,followed,a,negotlatlons,negotiations
13521,a,favorable,declslon,by,Dlvlslon,declslon,decision
13523,declslon,by,Dlvlslon,2,for,Dlvlslon,Division
13527,for,my,MCA'S,complalnt,was,MCA'S,MCA's
13528,my,MCA'S,complalnt,was,supported,complalnt,complaint
13533,by.,the,Amerlcan,Petroleum,~,Amerlcan,American
13536,Petroleum,~,"Instltute,",the,Corn,"Instltute,","Institute,"
13539,the,Corn,Reflners,Assoclatlon.,the,Reflners,Refiners
13540,Corn,Reflners,Assoclatlon.,the,Instltute,Assoclatlon.,"Association,"
13542,Assoclatlon.,the,Instltute,of,Shortenlng,Instltute,Institute
13544,Instltute,of,Shortenlng,and,Edlble,Shortenlng,Shortening
13546,Shortenlng,and,Edlble,"ml,",the,Edlble,Edible
13547,and,Edlble,"ml,",the,major,"ml,","Oils,"
13552,tank,car,leaslng,companles,and,leaslng,leasing
13553,car,leaslng,companles,and,Allled,companles,companies
13555,companles,and,Allled,Chemlcal,Corp,Allled,Allied
13556,and,Allled,Chemlcal,Corp,r37,Chemlcal,Chemical
13558,Chemlcal,Corp,r37,tlon.,The,r37,ra­
13559,Corp,r37,tlon.,The,1nter1,tlon.,tion.
13561,tlon.,The,1nter1,agreement,accompllshes,1nter1,interim
13563,1nter1,agreement,accompllshes,the,followlng:,accompllshes,accomplishes
13565,accompllshes,the,followlng:,m,The,followlng:,following:
13580,to,be,Incr.ased,on,thlrty,Incr.ased,Increased
13582,Incr.ased,on,thlrty,days',notlce,thlrty,thirty
13584,thlrty,days',notlce,by,2271/21.,notlce,notice
13586,notlce,by,2271/21.,Th1:,Increase,2271/21.,22-1/2%.
13587,by,2271/21.,Th1:,Increase,b.came,Th1:,This
13589,Th1:,Increase,b.came,effectlve,May,b.came,became
13590,Increase,b.came,effectlve,May,"1,",effectlve,effective
13596,Tank,car,Compeni,satlon,had,Compeni,compen­
13597,car,Compeni,satlon,had,not,satlon,sation
13601,not,been,1ncreased,Since,January,1ncreased,increased
13608,1:,15,estlmat.d,that,the,estlmat.d,estlmatad
13611,that,the,1ncrease,annuallzed,will,1ncrease,increase
13612,the,1ncrease,annuallzed,will,return,annuallzed,annualized
13618,the,tank,c.r,perators,an,c.r,car
13621,perators,an,addltlonal,540,million.,addltlonal,additional
13622,an,addltlonal,540,million.,The,540,$40
13634,$20,million.,cm,035995,51n<.e,cm,CMA
13635,million.,cm,035995,51n<.e,"195,",035995,036996
13636,cm,035995,51n<.e,"195,",the,51n<.e,Sin<.e
13637,035995,51n<.e,"195,",the,rallroads,"195,","1964,"
13639,"195,",the,rallroads,only,adjusted,rallroads,railroads
13644,tank,car,Compeni,satlon,upw.rd,Compeni,compen­
13645,car,Compeni,satlon,upw.rd,afcer,satlon,sation
13646,Compeni,satlon,upw.rd,afcer,adjudlcatlon,upw.rd,upward
13648,upw.rd,afcer,adjudlcatlon,of,a,adjudlcatlon,adjudication
13651,of,a,complalnt,before,the,complalnt,complaint
13663,car,compensai,tlon,Hill,a,tlon,tion
13667,a,adjusted,1n,relatlon,m,1n,in
13668,adjusted,1n,relatlon,m,and,relatlon,relation
13675,time,the,rallroads,.djust,the,rallroads,railroads
13676,the,rallroads,.djust,the,compensatlon,.djust,adjust
13678,.djust,the,compensatlon,paid,one,compensatlon,compensation
13685,use,of,sac,other's,cars.,sac,each
13689,cars.,The,rallroads,have,1ncreased,rallroads,railroads
13691,rallroads,have,1ncreased,the,compen-atlon,1ncreased,increased
13693,1ncreased,the,compen-atlon,paid,to,compen-atlon,compensation
13699,ocher,four,"tunes,",aggregati,mg,"tunes,","times,"
13700,four,"tunes,",aggregati,mg,"45%,",aggregati,aggregat­
13712,compensatlon,was,1ncreased.,We,expecc,1ncreased.,increased.
13719,rates,of,"compensatlon,",effectlve,ay,"compensatlon,","compensation,"
13720,of,"compensatlon,",effectlve,ay,"1,",effectlve,effective
13724,"1,",Hill,agaln,be,1ncreased,agaln,again
13726,agaln,be,1ncreased,1n,the,1ncreased,increased
13727,be,1ncreased,1n,the,flrst,1n,in
13729,1n,the,flrst,quarter,of,flrst,first
13735,when,the,rallroads,1ncrease,car,rallroads,railroads
13736,the,rallroads,1ncrease,car,compensai,1ncrease,increase
13738,1ncrease,car,compensai,tlon,to,compensai,compensa­
13739,car,compensai,tlon,to,ash,tlon,tion
13741,tlon,to,ash,other.,New,ash,each
13745,New,tank,c.rs,enterlng,the,c.rs,cars
13746,tank,c.rs,enterlng,the,r311,enterlng,entering
13748,enterlng,the,r311,"fleet,",frozen,r311,rail
13752,frozen,at,1959,Valuatlons,for,1959,1968
13753,at,1959,Valuatlons,for,the,Valuatlons,valuations
13758,purpose,of,"compensatlon,",will,now,"compensatlon,","compensation,"
13765,last,at,thelr,falr,market,thelr,their
13766,at,thelr,falr,market,Value.,falr,fair
13768,falr,market,Value.,For,"example,",Value.,value.
13773,a,car,Valud,1n,1975,Valud,valued
13774,car,Valud,1n,1975,dollars,1n,in
13783,for,a,mlleage,rae,of,mlleage,mileage
13784,a,mlleage,rae,of,23.914,rae,race
13786,rae,of,23.914,per,loaded,23.914,23.814
13789,per,loaded,mlle,whereas,prior,mlle,mile
13809,value,of,"$19,500",and,compensated,"$19,500","$18,500"
13816,rate,of,21.394.,Exlstlng,cars,21.394.,21.894.
13817,of,21.394.,Exlstlng,cars,will,Exlstlng,Existing
13821,will,be,raievaluated,and,15,raievaluated,re-evaluated
13825,15,the,falr,marks,value,falr,fair
13833,places,1:,1n,3,hlgher,1n,in
13835,1n,3,hlgher,mlle*,age,hlgher,higher
13836,3,hlgher,mlle*,age,"group,",mlle*,mile­
13843,will,be,reasslgned,to,the,reasslgned,reassigned
13846,to,the,hlgher,group.,Tank,hlgher,higher
13858,the,establlshi,men:,of,an,men:,ment
13861,of,an,equallzatlon,rule,"whereby,",equallzatlon,equalization
13865,"whereby,",the,rallroads,Will,be,rallroads,railroads
13868,Will,be,compens.ted,for,excess,compens.ted,compensated
13872,excess,empty,mlles,when,empty,mlles,miles
13875,when,empty,mlles,exceed,loaed,mlles,miles
13877,mlles,exceed,loaed,mlles,by,loaed,loaded
13878,exceed,loaed,mlles,by,more,mlles,miles
13882,more,than,105A.,The,ma,105A.,105^.
13885,The,ma,Hll,issue,an,Hll,will
13889,an,order,commencmg,a,rule,commencmg,commencing
13892,a,rule,maklng,proceedlng,for,maklng,making
13893,rule,maklng,proceedlng,for,the,proceedlng,proceeding
13898,purpose,of,establlshlng,rules,and,establlshlng,establishing
13903,methods,to,detemlnlng,sank,car,detemlnlng,determining
13904,to,detemlnlng,sank,car,compensatlon,sank,cank
13906,sank,car,compensatlon,1n,the,compensatlon,compensation
13907,car,compensatlon,1n,the,future.,1n,in
13910,the,future.,Wh-n,"completed,",the,Wh-n,When
13915,me,Will,lssue,another,ori,lssue,issue
13917,lssue,another,ori,der,cancelng,ori,or­
13919,ori,der,cancelng,the,interim,cancelng,canceling
13924,agreement,and,prescrlblng,the,basls,prescrlblng,prescribing
13988,complex,and,dlfflcult,egotlatlng,Will,dlfflcult,difficult
13989,and,dlfflcult,egotlatlng,Will,be,egotlatlng,negotiating
13992,Will,be,carrled,out,Hlth,carrled,carried
13994,carrled,out,Hlth,the,rallroads,Hlth,with
13996,Hlth,the,rallroads,under,me,rallroads,railroads
13999,under,me,superi,Vlslon.,mu,superi,super­
14029,cars.,last,repo,dealt,at,repo,report
14033,at,length,mm,Publlc,Law,mm,with
14034,length,mm,Publlc,Law,"92,500,",Publlc,Public
14036,Publlc,Law,"92,500,",the,Federal,"92,500,","92-500,"
14040,Federal,Water,Pollutlon,Control,"Ash,",Pollutlon,Pollution
14042,Pollutlon,Control,"Ash,",and,1n,"Ash,","Act,"
14044,"Ash,",and,1n,"partlcular,",the,1n,in
14045,and,1n,"partlcular,",the,1972,"partlcular,","particular,"
14049,1972,amendments,coverlng,spllls,of,coverlng,covering
14050,amendments,coverlng,spllls,of,hazard-us,spllls,spills
14052,spllls,of,hazard-us,pollutlng,substances,hazard-us,hazardous
14053,of,hazard-us,pollutlng,substances,and,pollutlng,polluting
14057,and,the,clvll,penaltles,provlded,clvll,civil
14058,the,clvll,penaltles,provlded,for,penaltles,penalties
14059,clvll,penaltles,provlded,for,such,provlded,provided
14062,for,such,spllls,1n,sectlon,spllls,spills
14063,such,spllls,1n,sectlon,311.,1n,in
14064,spllls,1n,sectlon,311.,I,sectlon,section
14067,311.,I,advlsed,that,an,advlsed,advised
14072,ad,hoc,1nter71ndustry,"commlttee,",1nclud1ng,1nter71ndustry,inter-Industry
14073,hoc,1nter71ndustry,"commlttee,",1nclud1ng,‘,"commlttee,","committee,"
14099,amend,several,sectlons,c,the,sectlons,sections
14104,law,and,sectlon,12,of,sectlon,section
14108,of,the,"b111,",whlle,not,"b111,","bill,"
14109,the,"b111,",whlle,not,totally,whlle,while
14114,m,the,"11k,",mg,of,"11k,",lik­
14115,the,"11k,",mg,of,th,mg,ing
14120,ad,hoc,"commlttEE,",would,have,"commlttEE,","committee,"
14125,been,a,Vast,unprovement,from,Vast,vast
14126,a,Vast,unprovement,from,the,unprovement,improvement
14129,from,the,exlstlng,aw.,MCA,exlstlng,existing
14130,the,exlstlng,aw.,MCA,testlfled,aw.,law.
14132,aw.,MCA,testlfled,1n,support,testlfled,testified
14133,MCA,testlfled,1n,support,of,1n,in
14137,of,the,mm,mm,caveats,mm,bill
14138,the,mm,mm,caveats,as,mm,with
14144,the,am,03599.,meanlng,1,03599.,036996
14160,mm,the,Envlrnmental,Protectlon,Agency,Envlrnmental,Environmental
14161,the,Envlrnmental,Protectlon,Agency,13pm,Protectlon,Protection
14163,Protectlon,Agency,13pm,on,the,13pm,(EPA)
14168,development,of,guldellnes,to,carry,guldellnes,guidelines
14173,out,the,1ntent,of,she,1ntent,intent
14176,of,she,dublous,language,along,dublous,dubious
14180,along,the,llnes,of,MCA'S,llnes,lines
14182,llnes,of,MCA'S,testy,mony.,MCA'S,MCA's
14183,of,MCA'S,testy,mony.,EPA,testy,testi­
14186,mony.,EPA,"Admlnlstrator,",Russell,"Traln,","Admlnlstrator,","Administrator,"
14188,"Admlnlstrator,",Russell,"Traln,",testlfled,1n,"Traln,","Train,"
14189,Russell,"Traln,",testlfled,1n,support,testlfled,testified
14190,"Traln,",testlfled,1n,support,of,1n,in
14193,support,of,3.x.,"9550,",1nclud1ng,3.x.,H.R.
14194,of,3.x.,"9550,",1nclud1ng,support,"9550,","9560,"
14195,3.x.,"9550,",1nclud1ng,support,of,1nclud1ng,including
14198,support,of,sectlon,12.,The,sectlon,section
14201,12.,The,deslred,revlslons,1n,deslred,desired
14202,The,deslred,revlslons,1n,the,revlslons,revisions
14203,deslred,revlslons,1n,the,"law,",1n,in
14207,"law,",as,eni,compassed,1n,eni,en­
14209,eni,compassed,1n,sectlon,"12,",1n,in
14210,compassed,1n,sectlon,"12,",were,sectlon,section
14217,the,House,Publlc,Works,Subcomi,Publlc,Public
14219,Publlc,Works,Subcomi,mlttee,ha,Subcomi,Subcom­
14227,However.,n,markiup,before,the,markiup,mark-up
14234,Commlttee,on,Publlc,Works,and,Publlc,Public
14237,Works,and,Trans.ortatlon.,the,penalty,Trans.ortatlon.,"Transportation,"
14241,penalty,language,1n,sectlon,12,1n,in
14242,language,1n,sectlon,12,underwent,sectlon,section
14248,Significant,and,unforunate,must.,The,unforunate,unfortunate
14251,must.,The,mu,provlded,for,mu,bill
14252,The,mu,provlded,for,a,provlded,provided
14255,for,a,maxlmum,penalty,of,maxlmum,maximum
14260,"$50,000.",In,markiu”,to,placate,markiu”,"mark-up,"
14263,to,placate,certaln,Commlttee,members,certaln,certain
14268,who,were,seeklng,to,preserve,seeklng,seeking
14272,preserve,the,maxlm,penalty,of,maxlm,maximum
14285,from,a,shore?aasd,"faclllty,",as,shore?aasd,shore-based
14286,a,shore?aasd,"faclllty,",as,provlded,"faclllty,","facility,"
14288,"faclllty,",as,provlded,1n,the,provlded,provided
14289,as,provlded,1n,the,1972,1n,in
14295,the,Commlttee,ap*,proved,a,ap*,ap­
14298,proved,a,brasitler,approach,to,brasitler,three-tier
14301,approach,to,penaltles.,The,"amendment,",penaltles.,penalties.
14304,The,"amendment,",1n,effect,provldes,1n,in
14306,1n,effect,provldes,a,maxlmum,provldes,provides
14308,provldes,a,maxlmum,penalty,of,maxlmum,maximum
14311,penalty,of,"550,000",for,a,"550,000","$50,000"
14314,for,a,flrst,"spill,",a,flrst,first
14317,"spill,",a,maxlmum,of,"$100,000",maxlmum,maximum
14338,durlng,a,three?lea,perlod.,The,three?lea,three-year
14339,a,three?lea,perlod.,The,markiup,perlod.,period.
14341,perlod.,The,markiup,made,no,markiup,mark-up
14345,no,change,1n,the,language,1n,in
14348,the,language,concernlng,spllls,1n,concernlng,concerning
14357,wlllful,mlsconduct.,3.x.,9550,1:,3.x.,H.R.
14358,mlsconduct.,3.x.,9550,1:,expected,9550,9560
14362,expected,to',obtaln,a,rule,obtaln,obtain
14370,Commlttee,for,con*,slderatlo,by,con*,con­
14371,for,con*,slderatlo,by,the,slderatlo,sideration
14377,some,time,thls,"month,",tt,thls,this
14388,who,are,famlllar,Hlth,leglslatlve,famlllar,familiar
14389,are,famlllar,Hlth,leglslatlve,procedures,Hlth,with
14390,famlllar,Hlth,leglslatlve,procedures,that,leglslatlve,legislative
14394,that,the,markiup,commlttee,has,markiup,mark-up
14395,the,markiup,commlttee,has,made,commlttee,committee
14398,has,made,mm,a,"""Chrlstmas",mm,such
14400,mm,a,"""Chrlstmas","Tree""",of,"""Chrlstmas","""Christmas"
14404,of,the,"b111,",chat,1:,"b111,","bill,"
14413,chance,of,belng,Voted,down,belng,being
14414,of,belng,Voted,down,by,Voted,voted
14420,House.,If,thls,does,not,thls,this
14429,he,Senate's,companlon,mu,1:,companlon,companion
14430,Senate's,companlon,mu,1:,so,mu,bill
14433,1:,so,dlfferent,than,3.x.,dlfferent,different
14435,dlfferent,than,3.x.,"9550,",an,3.x.,H.R.
14436,than,3.x.,"9550,",an,"ac,","9550,","9560,"
14438,"9550,",an,"ac,",fort,Will,"ac,",ef­
14449,language,to,1:5,orlglnal,form,1:5,its
14450,to,1:5,orlglnal,form,durlng,orlglnal,original
14452,orlglnal,form,durlng,the,House,durlng,during
14460,The,fallback,posltlon,Will,be,posltlon,position
14464,be,to,ellmlnate,sectlon,1,ellmlnate,eliminate
14465,to,ellmlnate,sectlon,1,1n,sectlon,section
14467,sectlon,1,1n,1::,entlrety.,1n,in
14468,1,1n,1::,entlrety.,The,1::,its
14469,1n,1::,entlrety.,The,transortatlon,entlrety.,entirety.
14471,entlrety.,The,transortatlon,of,hazardous,transortatlon,transportation
14474,of,hazardous,materlals,contlnues,to,materlals,materials
14475,hazardous,materlals,contlnues,to,recelve,contlnues,continues
14477,contlnues,to,recelve,adverse,publlclty,recelve,receive
14479,recelve,adverse,publlclty,far,out,publlclty,publicity
14483,out,of,proportlon,m,the,proportlon,proportion
14487,the,safety,1::,transportatlon,record,1::,its
14488,safety,1::,transportatlon,record,dE*,transportatlon,transportation
14490,transportatlon,record,dE*,serves.,T,dE*,de­
14503,of,the,Offlce,of,Hazardous,Offlce,Office
14506,of,Hazardous,Materlals,when,testlfylng,Materlals,Materials
14508,Materlals,when,testlfylng,on,the,testlfylng,testifying
14511,on,the,Transportatlon,Safety,Act,Transportatlon,Transportation
14527,of,hazsrdous,materlals,shipped,annually,materlals,materials
14530,shipped,annually,Hlth,as,many,Hlth,with
14535,as,"250,000",shlpments,tendered,dally.,shlpments,shipments
14537,shlpments,tendered,dally.,Major,ac,dally.,daily.
14562,1ncreased,regulai,tlon.,Since,"1959,",tlon.,tion.
14568,Department,of,Transportatlon,has,been,Transportatlon,Transportation
14571,has,been,attemptlng,to,develop,attemptlng,attempting
14577,new,hazard,1nformatlon,system,1ntegrat1ng,1nformatlon,information
14579,1nformatlon,system,1ntegrat1ng,Vehlcle,placards,1ntegrat1ng,integrating
14580,system,1ntegrat1ng,Vehlcle,placards,and,Vehlcle,vehicle
14585,Shipping,papers,mm,the,ability,mm,with
14590,for,a,qulck,emergency,response.,qulck,quick
14594,response.,The,DDT'S,most,rec-nt,DDT'S,DOT's
14596,DDT'S,most,rec-nt,effort,1:,rec-nt,recent
14601,an,advance,notlce,of,rule,notlce,notice
14604,of,rule,maklng,1dent1£1ed,Hazardous,maklng,making
14605,rule,maklng,1dent1£1ed,Hazardous,Materlal,1dent1£1ed,identified
14607,1dent1£1ed,Hazardous,Materlal,Docket,No.,Materlal,Materials
14620,docket,evaluate,nlne,hazard,1nformatlon,nlne,nine
14622,nlne,hazard,1nformatlon,systems,proposed,1nformatlon,information
14627,by,respondents,1n,3,past,1n,in
14631,past,docket,aalnst,nine,crlterla,aalnst,against
14633,aalnst,nine,crlterla,that,a,crlterla,criteria
14637,a,hazard,Infomatlon,system,should,Infomatlon,Information
14641,should,meet.,MCA'S,reponse,was,MCA'S,MCA's
14642,meet.,MCA'S,reponse,was,a,reponse,response
14645,was,a,modlflcatlon,of,1::,modlflcatlon,modification
14647,modlflcatlon,of,1::,prior,proposal,1::,its
14653,1:,15,belleved,more,adeuately,belleved,believed
14655,belleved,more,adeuately,meets,the,adeuately,adequately
14658,meets,the,nlne,crlterla,than,nlne,nine
14659,the,nlne,crlterla,than,any,crlterla,criteria
14667,systems.,1:,1ntegrat-s,the,Vehlcle,1ntegrat-s,integrates
14669,1ntegrat-s,the,Vehlcle,"placards,",the,Vehlcle,vehicle
14672,"placards,",the,shlpplng,"papers,",an,shlpplng,shipping
14675,"papers,",an,lnmedlate,ability,to,lnmedlate,lnmediate
14690,for,unplementai,tlon,dom-stlcally,1nclud1ng,tlon,tion
14691,unplementai,tlon,dom-stlcally,1nclud1ng,lntemodal,dom-stlcally,domestically
14692,tlon,dom-stlcally,1nclud1ng,lntemodal,"transportatlon,",1nclud1ng,including
14693,dom-stlcally,1nclud1ng,lntemodal,"transportatlon,",but,lntemodal,lntermodal
14694,1nclud1ng,lntemodal,"transportatlon,",but,15,"transportatlon,","transportation,"
14697,but,15,readlly,adapt?,able,readlly,readily
14698,15,readlly,adapt?,able,for,adapt?,adapt­
14701,able,for,1nternatlonal,shlpments.,We,1nternatlonal,international
14702,for,1nternatlonal,shlpments.,We,belleve,shlpments.,shipments.
14704,shlpments.,We,belleve,the,MCA,belleve,believe
14710,15,the,lead?,mg,sand,lead?,lead­
14728,maklng,proceed?,mg.,cm,"0359"";",mg.,ing.
14729,proceed?,mg.,cm,"0359"";",M,cm,CMA
14730,mg.,cm,"0359"";",M,7,"0359"";",036997
14735,4,The,ommlttee,has,a,ommlttee,committee
14740,roster,of,thlrtyislx,members,and,thlrtyislx,thirty-six
14744,and,15,organlzed,around,a,organlzed,organized
14761,"leglslatlon,","marlne,",physlcal,"dlstrlbutlon,",r311,physlcal,physical
14762,"marlne,",physlcal,"dlstrlbutlon,",r311,"carrlers,","dlstrlbutlon,","distribution,"
14763,physlcal,"dlstrlbutlon,",r311,"carrlers,",transportatlon,r311,rail
14764,"dlstrlbutlon,",r311,"carrlers,",transportatlon,envlronmental,"carrlers,","carriers,"
14765,r311,"carrlers,",transportatlon,envlronmental,regulai,transportatlon,transportation
14767,transportatlon,envlronmental,regulai,tlons,am,regulai,regula­
14768,envlronmental,regulai,tlons,am,a,tlons,tions
14771,am,a,steerlng,subcomlttee.,The,steerlng,steering
14772,a,steerlng,subcomlttee.,The,steerlng,subcomlttee.,subcommittee.
